system:index,Name,.geo
0_0,728,"{""type"":""Polygon"",""coordinates"":[[[85.80358401243228,25.16021969609773],[85.80352210998541,25.160257339477532],[85.80347606102094,25.160181568272044],[85.80353650343716,25.16014255543979],[85.80358401243228,25.16021969609773]]]}"
0_1,728,"{""type"":""Polygon"",""coordinates"":[[[85.80380439758312,25.160085678100696],[85.80374062754856,25.160124457175755],[85.80369334238202,25.16004132302993],[85.8037549154298,25.16000158042624],[85.80380439758312,25.160085678100696]]]}"
0_2,728,"{""type"":""Polygon"",""coordinates"":[[[85.80394771425047,25.16032499715789],[85.8036726034477,25.160490212058438],[85.80352210998541,25.160257339477532],[85.80380439758312,25.160085678100696],[85.80394771425047,25.16032499715789]]]}"
0_3,728,"{""type"":""Polygon"",""coordinates"":[[[85.80381965637207,25.15995979309082],[85.80340003967285,25.160230636596676],[85.8033618927002,25.160184860229492],[85.80378532409668,25.15991401672363],[85.80381965637207,25.15995979309082]]]}"
1_0,1916,"{""type"":""Polygon"",""coordinates"":[[[77.42814434799554,30.417222331086357],[77.42819846274332,30.417344455125612],[77.42826819600003,30.417501826000034],[77.4282437740001,30.417627575000072],[77.42813019500007,30.417766915000094],[77.42780729000006,30.41807124400007],[77.42770384000005,30.418341656000074],[77.4275278850001,30.41846425800003],[77.42732499700008,30.418611226000053],[77.42702621500008,30.41877787600005],[77.42693193789187,30.419083668373258],[77.42703560936515,30.419208348492887],[77.42765998418335,30.419502278640344],[77.42811071656034,30.419635598977393],[77.42822512515941,30.419649198031337],[77.42866434470213,30.419701404409633],[77.42889599871079,30.419804010595502],[77.42886492879606,30.41997260279164],[77.4287086559264,30.420067155427397],[77.42868020881855,30.420079410590446],[77.42777284833315,30.420151266137037],[77.42766979998818,30.420260101297533],[77.42766477363269,30.420412934752182],[77.42768617125705,30.420565276595823],[77.42783212152732,30.42079916770807],[77.42854630296435,30.421137319788496],[77.42908794472498,30.42130288869933],[77.42925794662844,30.42140664175837],[77.42934848706508,30.42150423701439],[77.42939479808734,30.421595018689143],[77.42939706879034,30.42168662030518],[77.42926054778277,30.42206372269271],[77.42912602000007,30.421991208000076],[77.42881095100006,30.421835655000073],[77.42847134700008,30.42168322600003],[77.42827294600006,30.42152927900005],[77.42777153200005,30.421140209000043],[77.42755274400008,30.420911901000075],[77.42729671400008,30.420644728000074],[77.42704784900008,30.420235561000016],[77.42675520500006,30.419866001000052],[77.42655204600005,30.419494776000064],[77.42649483200006,30.418991827000102],[77.42648490600004,30.418590844000043],[77.42641629200007,30.418230048000044],[77.42625883800008,30.417896765000044],[77.42611661800004,30.41757613100003],[77.42590555000004,30.417269008000062],[77.42629222500007,30.417230907000043],[77.42735043200008,30.41719104500003],[77.42814434799554,30.417222331086357]]]}"
2_0,1915,"{""type"":""Polygon"",""coordinates"":[[[77.49938863626261,30.38642965104469],[77.49956261856158,30.38689360384194],[77.49968543400013,30.38749083699997],[77.50113671133238,30.38756599193295],[77.50129946646513,30.387460343864166],[77.50146793230425,30.387631665056567],[77.50163068743717,30.387697338180423],[77.50186961300011,30.387852601000077],[77.50171281900009,30.38794629000011],[77.50148363900013,30.388024387000087],[77.50119412800007,30.38805046600003],[77.50100114000008,30.3881337570001],[77.50092876800011,30.388159788000007],[77.50070570400015,30.38852239000017],[77.50061530800014,30.388787762000106],[77.50060936900007,30.389099943000073],[77.50059312135011,30.38914533829666],[77.50055421927796,30.389254029159588],[77.50050853362677,30.38933112369619],[77.50045667698782,30.38939983374291],[77.50064943523398,30.389793149454487],[77.50057641994096,30.38980467286388],[77.5005028229204,30.389793690915724],[77.5003054606376,30.389687316259437],[77.49971363501993,30.38978909062456],[77.4992322180001,30.389929514000084],[77.49894446053639,30.39013009881587],[77.4990370000001,30.386381000000004],[77.49938863626261,30.38642965104469]]]}"
3_0,1913,"{""type"":""Polygon"",""coordinates"":[[[76.81223458573783,28.747091927797385],[76.8119680696799,28.747475785950783],[76.81164305486917,28.74727282495845],[76.81191304896878,28.746887870213392],[76.81223458573783,28.747091927797385]]]}"
3_1,1913,"{""type"":""Polygon"",""coordinates"":[[[76.81196846438432,28.74747517869411],[76.81203175786295,28.74738457834212],[76.81216372803058,28.74745848598846],[76.81202812717424,28.747650803410988],[76.8120366172132,28.74762296069373],[76.8120393477268,28.747607465397078],[76.81204111216054,28.747591852420417],[76.8120419059277,28.747576150531163],[76.81204132755363,28.74756238655261],[76.81203867049874,28.74754788789535],[76.81203570432758,28.747534588558477],[76.81202904759564,28.74752291734825],[76.81201983899336,28.747511220914006],[76.81200834885993,28.747500536819445],[76.81198835606402,28.74748570867833],[76.81196846438432,28.74747517869411]]]}"
3_2,1913,"{""type"":""Polygon"",""coordinates"":[[[76.81225592060095,28.74710278262653],[76.81227298763723,28.74710946715002],[76.81228798821614,28.747114584533033],[76.81229782515447,28.747117381141432],[76.8123119675754,28.747119656859102],[76.81232513957288,28.74711995917401],[76.81233283760871,28.747119935953805],[76.81234006604299,28.747118922419503],[76.81235213489758,28.74711665714331],[76.81236283175976,28.747113922180038],[76.81237506432637,28.747108955210113],[76.81238570707741,28.747103092624503],[76.81239671093981,28.747096563896875],[76.81240840825015,28.747087821878385],[76.81242422358717,28.74707533547946],[76.81243790950977,28.74706474511752],[76.81230535885706,28.747255608664325],[76.81217104117674,28.747183456595735],[76.81223353406541,28.747091791657766],[76.81225592060095,28.74710278262653]]]}"
4_0,956,"{""type"":""Polygon"",""coordinates"":[[[81.429038,20.381241000000003],[81.429634,20.380064],[81.43023,20.378888],[81.430826,20.377710999999998],[81.431426,20.376527],[81.432272,20.376928],[81.433136,20.377301999999997],[81.434077,20.377645999999995],[81.435087,20.378027999999997],[81.434772,20.378666],[81.43438,20.379448],[81.434033,20.38014],[81.433587,20.381028],[81.433116,20.381960000000003],[81.432778,20.382639000000005],[81.432407,20.38337],[81.432028,20.384134],[81.430819,20.383553],[81.429458,20.382892],[81.428449,20.382405],[81.429038,20.381241000000003]]]}"
